Team Name,Team ID,Team Name Link,League Code,League,Region
Austria Vienna,1382,austria-vienna,aut.1,Austrian Bundesliga,Europe
FC Blau-Weiß Linz,21950,fc-blau-weiß-linz,aut.1,Austrian Bundesliga,Europe
FC Salzburg,2790,fc-salzburg,aut.1,Austrian Bundesliga,Europe
LASK Linz,4411,lask-linz,aut.1,Austrian Bundesliga,Europe
Rapid Vienna,519,rapid-vienna,aut.1,Austrian Bundesliga,Europe
SC Rheindorf Altach,4405,sc-rheindorf-altach,aut.1,Austrian Bundesliga,Europe
SK Austria Klagenfurt,20966,sk-austria-klagenfurt,aut.1,Austrian Bundesliga,Europe
SK Sturm Graz,3746,sk-sturm-graz,aut.1,Austrian Bundesliga,Europe
TSV Hartberg,6907,tsv-hartberg,aut.1,Austrian Bundesliga,Europe
WSG Swarovski Tirol,18794,wsg-swarovski-tirol,aut.1,Austrian Bundesliga,Europe
Wolfsberger,13294,wolfsberger,aut.1,Austrian Bundesliga,Europe
Anderlecht,441,anderlecht,bel.1,Belgian Pro League,Europe
Antwerp,17544,antwerp,bel.1,Belgian Pro League,Europe
Cercle Brugge KSV,3610,cercle-brugge-ksv,bel.1,Belgian Pro League,Europe
Club Brugge,570,club-brugge,bel.1,Belgian Pro League,Europe
Eupen,4689,eupen,bel.1,Belgian Pro League,Europe
KAA Gent,3611,kaa-gent,bel.1,Belgian Pro League,Europe
KV Kortrijk,5786,kv-kortrijk,bel.1,Belgian Pro League,Europe
KV Mechelen,7879,kv-mechelen,bel.1,Belgian Pro League,Europe
KVC Westerlo,606,kvc-westerlo,bel.1,Belgian Pro League,Europe
Oud-Heverlee Leuven,5579,oud-heverlee-leuven,bel.1,Belgian Pro League,Europe
RWDM,20981,rwdm,bel.1,Belgian Pro League,Europe
Racing Genk,938,racing-genk,bel.1,Belgian Pro League,Europe
Royal Charleroi SC,3616,royal-charleroi-sc,bel.1,Belgian Pro League,Europe
Sint-Truidense,936,sint-truidense,bel.1,Belgian Pro League,Europe
