Team Name,Team ID,Team Name Link,League Code
Sampaio Corrêa,4873,sampaio-correa,bra.copa_do_brazil
Sousa EC,15561,sousa-ec,bra.copa_do_brazil
Sport,7635,sport,bra.copa_do_brazil
São Bernardo,11268,sao-bernardo,bra.copa_do_brazil
São Luiz-RS,7391,sao-luiz-rs,bra.copa_do_brazil
São Raimundo-RR,17723,sao-raimundo-rr,bra.copa_do_brazil
Tocantinopolis,18192,tocantinopolis,bra.copa_do_brazil
Tombense,17339,tombense,bra.copa_do_brazil
Trem,21553,trem,bra.copa_do_brazil
Treze,4902,treze,bra.copa_do_brazil
União Rondonópolis-MT,4881,uniao-rondonopolis-mt,bra.copa_do_brazil
Vasco da Gama,3454,vasco-da-gama,bra.copa_do_brazil
Villa Nova-MG,4910,villa-nova-mg,bra.copa_do_brazil
Volta Redonda,4806,volta-redonda,bra.copa_do_brazil
Ypiranga,4935,ypiranga,bra.copa_do_brazil
